method,power,fdp,v
mkn,0.975,0.025,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.95,0,0.75
pkn,0.9625,0,1
pkn,0.9625,0.01282051282051282,1.25
pkn,0.9625,0.02531645569620253,1.5
pkn,0.9625,0.02531645569620253,1.75
pkn,0.9625,0.02531645569620253,2
pkn,0.9625,0.02531645569620253,2.25
pkn,0.9625,0.02531645569620253,2.5
pkn,0.9625,0.02531645569620253,2.75
pkn,0.9625,0.02531645569620253,3
pkn,0.9625,0.02531645569620253,3.25
pkn,0.9625,0.02531645569620253,3.5
pkn,0.9625,0.02531645569620253,3.75
pkn,0.975,0.025,4
pkn,0.975,0.025,4.25
pkn,0.975,0.025,4.5
pkn,0.975,0.025,4.75
pkn,0.975,0.025,5
