method,power,fdp,v
mkn,0.9625,0.02531645569620253,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.8625,0,0.5
pkn,0.9125,0,0.75
pkn,0.9375,0.013157894736842105,1
pkn,0.9375,0.013157894736842105,1.25
pkn,0.9375,0.013157894736842105,1.5
pkn,0.9375,0.013157894736842105,1.75
pkn,0.9375,0.013157894736842105,2
pkn,0.9375,0.013157894736842105,2.25
pkn,0.9375,0.013157894736842105,2.5
pkn,0.95,0.012987012987012988,2.75
pkn,0.9625,0.02531645569620253,3
pkn,0.9625,0.02531645569620253,3.25
pkn,0.9625,0.02531645569620253,3.5
pkn,0.9625,0.02531645569620253,3.75
pkn,0.9625,0.02531645569620253,4
pkn,0.9625,0.02531645569620253,4.25
pkn,0.9625,0.02531645569620253,4.5
pkn,0.9625,0.0375,4.75
pkn,0.9625,0.04938271604938271,5
