method,power,fdp,v
mkn,0.9875,0.024691358024691357,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.9375,0.013157894736842105,0.75
pkn,0.975,0.012658227848101266,1
pkn,0.975,0.012658227848101266,1.25
pkn,0.975,0.012658227848101266,1.5
pkn,0.9875,0.024691358024691357,1.75
pkn,0.9875,0.024691358024691357,2
pkn,0.9875,0.024691358024691357,2.25
pkn,0.9875,0.024691358024691357,2.5
pkn,0.9875,0.024691358024691357,2.75
pkn,0.9875,0.024691358024691357,3
pkn,0.9875,0.024691358024691357,3.25
pkn,0.9875,0.024691358024691357,3.5
pkn,0.9875,0.024691358024691357,3.75
pkn,0.9875,0.024691358024691357,4
pkn,0.9875,0.024691358024691357,4.25
pkn,0.9875,0.024691358024691357,4.5
pkn,0.9875,0.024691358024691357,4.75
pkn,0.9875,0.024691358024691357,5
