method,power,fdp,v
mkn,1,0.06976744186046512,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.9625,0,0.75
pkn,0.975,0.025,1
pkn,1,0.024390243902439025,1.25
pkn,1,0.024390243902439025,1.5
pkn,1,0.047619047619047616,1.75
pkn,1,0.047619047619047616,2
pkn,1,0.058823529411764705,2.25
pkn,1,0.058823529411764705,2.5
pkn,1,0.06976744186046512,2.75
pkn,1,0.06976744186046512,3
pkn,1,0.06976744186046512,3.25
pkn,1,0.06976744186046512,3.5
pkn,1,0.06976744186046512,3.75
pkn,1,0.06976744186046512,4
pkn,1,0.06976744186046512,4.25
pkn,1,0.06976744186046512,4.5
pkn,1,0.08045977011494253,4.75
pkn,1,0.08045977011494253,5
